#,Background,Stance,Mango Color,Eyes,Mouth,Costume,Costume Color,Hat,Weapon 1,Weapon 2,Weapon 3,Affinity,Special Edition
mh0,Lime Green,Floating,Orange,Unknown,Unknown,Hockey Mask,White/Blood,None,None,None,None,Hero,Travis D
mh1208,Rising Sun,Fun,Red,Focused Red,Cigar,Ronin,Tan,None,Katana,None,None,Hero,None
mh1209,Tangelo,Fighting,Normal,Angry,Clench 2,Viking,Brown,Viking,Shield,None,None,Hero,None
mh1210,Tangelo,Fighting,Blue,Crying,Yell,Viking,Brown,Viking,Shield,None,None,Hero,None
mh1211,Tangelo,Fighting,Pink,Calm,Smile,Viking,Brown,Viking,Shield,None,None,Hero,None
mh1212,Peach Center,Fun,Purple,Resent,Frown,Cape,Green,None,None,None,None,Hero,None
mh1213,Peach Center,Fun,Red,Resent,Cigar 2,Cape,Green,None,None,None,None,Hero,None
mh1214,Mushroom,Fun,Purple,Worry,Plumber,Plumber,Red,Plumber,None,None,None,Hero,None
mh1215,Ocean 1,Fun,Purple,Yikes,Triumph,Boxer,Orange,None,Gloves,None,None,Hero,None
mh1216,Sky 2,Fun,Normal,Scar Left,Buck,Swimmer,Pink,Swimmer,None,None,None,Hero,None
mh1217,Pink White,Fun,Normal,Scar Right,Fright,Trunks,Black,None,None,None,None,Hero,None
mh1218,Sakura,Fun,Sunrise,Resent,Sinister,Damasi,Yellow,None,None,None,None,Hero,None
mh1219,Mango Island,Fun,Red,Mask,Sinister,Mango Man,Green,None,None,None,None,Hero,None
mh1220,Sky 2,Fun,Normal,Angry 3,Whiskers,Swimmer,Red,Swimmer,None,None,None,Hero,None
mh1221,TBT,Fun,Purple,Angry 1,Triumph,Kaiju Shirt,Red,Mariachi,Maraca,None,None,Hero,Kaiju
mh1222,Orange Center,Fun,Red,Glasses,Plumber,Caliburn Combat,Blue,None,None,None,None,Hero,None
mh1223,Ocean 3,Fighting,Pink,Angry,Smile,Straw Hat,Pink,Straw Hat,None,None,None,Hero,None
mh1224,Green Black,Fun,Normal,Glasses,Mask Black,Guerrilla,Red,None,AM-47,None,None,Hero,None
mh1225,Mango Island,Fun,Pink,Ghoulish,Plumber,Arachnoid,Blue,None,Mech Arms,None,None,Hero,None
mh1226,Blue Yellow,Fun,Sunrise,Eager,Plumber,Jester,Purple,None,None,None,None,Hero,None
mh1227,Sun,Fun,Pink,Skeptic,Full Metal,Chad,White,None,Jo,None,None,Hero,None
mh1228,Peach Center,Fun,Red,Intense Worn,Woozy,Cape,Green,None,None,None,None,Hero,None
mh1229,Mushroom,Fun,Normal,Plead 1,Mustache 2,Plumber,Red,Plumber,None,None,None,Hero,None
mh1230,Teal Black,Fun,Blue,Sinister,Mustache 2,Slime Shirt,Pink,None,None,None,None,Hero,None
mh1231,Teal Black,Fun,Sunrise,Spectacles,Respirator 2,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh1232,Evening,Fun,Red,Wink,Whiskers,Wasteland,Pink,None,MPAS-12,None,None,Hero,None
mh1233,Stars,Fun,Purple,Sinister,Frown,Space Suit,Black,None,None,None,None,Hero,None
mh1234,Grey White,Fun,Purple,Wink,Yell,Grease,Blue,Cap,None,None,None,Hero,None
mh1235,Mushroom,Fun,Normal,Envy,Buck,Plumber,Red,Plumber,None,None,None,Hero,None
mh1236,Tangelo,Fighting,Blue,Shock,Smirk,Viking,Brown,Viking,Shield,None,None,Hero,None
mh1237,Sakura,Fun,Green,Sinister,Fright,Damasi,White,None,None,None,None,Hero,None
mh1238,Mushroom,Fun,Normal,Scared,Whistle,Plumber,Red,Plumber,None,None,None,Hero,None
mh1239,Pink Center,Fighting,Green,Shades,Yell,Mango Ranger,Pink,None,None,None,None,Hero,None
mh1240,Sky 2,Fun,Red,Calm,Fright,Swimmer,Blue,Swimmer,None,None,None,Hero,None
mh1241,Peach Center,Fun,Pink,Intense Worn,Zipped,Cape,Green,None,None,None,None,Hero,None
mh1242,Mango Island,Fun,Green,Mask,Cigar 2,Mango Man,Green,None,None,None,None,Hero,None
mh1243,Red Cornered,Fun,Red,Jester,Buck,Agent M,White,None,Mango MPK,Pencil,None,Hero,None
mh1244,TBT,Fun,Pink,Joy,Wheat,Cope,Black,Mariachi,Maraca,None,None,Hero,Cope
mh1245,Evening,Fun,Purple,Tired,Ghoulish,Wasteland,Pink,None,MPAS-12,None,None,Hero,None
mh1246,Red Cornered,Fun,Red,Sinister,Plumber,Agent O,Black,None,Mango MPK,Pencil,None,Hero,None
mh1247,Purple Grey,Fun,Green,Sinister,Jester Purple,Ghoul,Black,None,Rinkaku Red,None,None,Hero,None
mh1248,TBT,Fun,Purple,Plead 2,Leaf,Shirt,Blue,Mariachi,Maraca,None,None,Hero,None
mh1249,Sakura,Fun,Purple,Spectacles,Jester Red,Damasi,Pink,None,None,None,None,Hero,None
mh1250,Green Black,Fun,Normal,Intense,Pout,Guerrilla,Purple,None,AM-47,None,None,Hero,None
mh1251,Bonsai,Fighting,Blue,Intense,Samurai,Samurai,Pink,Samurai,Katana,None,None,Hero,None
mh1252,Sea,Fun,Sunrise,Intense Worn,Frown,Rockstar,Black,None,None,None,None,Hero,None
mh1253,Sky 2,Fun,Green,Spectacles Angry,Cig,Swimmer,Pink,Swimmer,None,None,None,Hero,None
mh1254,Tangelo,Fighting,Green,Normal,Cheese,Viking,Brown,Viking,Shield,None,None,Hero,None
mh1255,Pink White,Fun,Red,Focused Black,Lower,Trunks,Red,None,None,None,None,Hero,None
mh1256,Pink Orange,Fun,Pink,Calm,Ghoulish,Striped,White,None,None,None,None,Hero,None
mh1257,Bonsai,Fighting,Sunrise,Intense,Samurai,Samurai,Pink,Samurai,Katana,None,None,Hero,None
mh1258,Red Cornered,Fun,Sunrise,Piercing,Sinister,Agent N,Pink,None,Mango MPK,Pencil,None,Hero,None
mh1259,Ocean 3,Fighting,Green,Skeptic,Cigar,Straw Hat,Red,Straw Hat,None,None,None,Hero,None
mh1260,Green Black,Fun,Normal,Goggles,Jester Purple,Guerrilla,Black,None,AM-47,None,None,Hero,None
mh1261,Sky 2,Fun,Normal,Eager,Ghoulish,Swimmer,Pink,Swimmer,None,None,None,Hero,None
mh1262,Rising Sun,Fun,Purple,Focused Red,Clench 1,Ronin,Yellow,None,Katana,None,None,Hero,None
mh1263,Bonsai,Fighting,Normal,Intense,Samurai,Samurai,Blue,Samurai,Katana,None,None,Hero,None
mh1264,Sun,Fun,Normal,Calm,Whiskers,Chad,White,None,Jo,None,None,Hero,None
mh1265,Sky 1,Fun,Sunrise,Yikes,Plumber,Mango Radio,Red,None,None,None,None,Hero,None
mh1266,Teal Black,Fun,Pink,Shock,Pout,Shirt,Blue,Magician,Wand,None,None,Hero,None
mh1267,Pink Black,Fun,Red,Eager,Ghoulish,Tiger,Orange,None,None,None,None,Hero,None
mh1268,Purple Grey,Fun,Pink,Piercing Worn,Wheat,Ghoul,White,None,Rinkaku Red,None,None,Hero,None
mh1269,Purple Center,Fun,Green,Intense Worn,Leaf,Biz,Tan,None,None,None,None,Hero,None
mh1270,Pink White,Fun,Purple,Intense Worn,Fright,Trunks,Pink,None,None,None,None,Hero,None
mh1271,Gold,Fighting,Blue,Pixelshades,Smile,Mango Ranger,Yellow,None,None,None,None,Hero,None
mh1272,Pink Black,Fun,Red,Angry,Twig,Cope,Black,None,None,None,None,Hero,Cope
mh1273,Mango Island,Fun,Purple,Mask,Pout,Mango Man,Green,None,None,None,None,Hero,None
mh1274,TBT Radial,Fun,Green,Intense Worn,Gum,FFF,Purple,None,None,None,None,Hero,FFF
mh1275,Pink Black,Fun,Sunrise,Intense,Ghoulish,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh1276,Turquoise Center,Fun,Purple,Tired,Clench 1,Mangonaut,White,None,None,None,None,Hero,None
mh1277,Purple Grey,Fun,Pink,Scared,Fright,Ghoul,Red,None,Rinkaku Yellow,None,None,Hero,None
mh1278,Sky 2,Fun,Pink,Joy,Buck,Swimmer,Orange,Swimmer,None,None,None,Hero,None
mh1279,Turquoise Center,Fun,Sunrise,Sinister,Jester Red,Mangonaut,Yellow,None,None,None,None,Hero,None
mh1280,Blue Yellow,Fun,Purple,Worry,Plumber,Jester,Purple,None,None,None,None,Hero,None
mh1281,Mushroom,Fun,Red,Scar Right,Sinister,Plumber,Red,Plumber,None,None,None,Hero,None
mh1282,Purple Grey,Fun,Red,Intense Worn,Mask Yellow,Ghoul,White,None,Rinkaku Red,None,None,Hero,None
mh1283,Planets,Fun,Red,Money,Yum,Space Wrangler,Tan,Space Wrangler,Mango-45,Mango Ray,None,Hero,None
mh1284,Pink Black,Fun,Blue,Sinister,Mask Red,Puffy,Blue,None,None,None,None,Hero,None
mh1285,Sunset,Fun,Purple,Angry 1,Leaf,Mangoball,Orange,None,Mangoball,None,None,Hero,None
mh1286,Green Bubble,Fun,Blue,Glasses,Knife,Slime Shirt,Pink,None,None,None,Knife,Hero,None
mh1287,Blue Center Light,Fun,Normal,Surprise,Clench 1,School,Blue,None,None,None,None,Hero,None
mh1288,Sunset,Fun,Normal,Resent,Sinister,Mangoball,Orange,None,Mangoball,None,None,Hero,None
mh1289,Blue Center Dark,Fighting,Red,Worry 2,Smooch,Mango Ranger,Blue,None,None,None,None,Hero,None
mh1290,Stars,Fun,Blue,Jester,Frown,Space Suit,Red,None,None,None,None,Hero,None
mh1291,Pink White,Fun,Pink,Angry 1,Fright,Trunks,Light Pink,None,None,None,None,Hero,None
mh1292,Ocean 3,Fighting,Pink,Plead 1,Yell,Straw Hat,Yellow,Straw Hat,None,None,None,Hero,None
mh1293,Pink White,Fun,Red,Focused Black,Buck,Trunks,Red,None,None,None,None,Hero,None
mh1294,Mushroom,Fun,Blue,Calm,Full Metal,Plumber,Red,Plumber,None,None,None,Hero,None
mh1295,Sun,Fun,Sunrise,Shock,Leaf,Chad,White,None,Jo,None,None,Hero,None
mh1296,Teal Black,Fun,Blue,Alien White,Woozy,Cope,Black,None,None,None,None,Hero,Cope
mh1297,Bonsai,Fighting,Pink,Intense,Samurai,Samurai,Blue,Samurai,Katana,None,None,Hero,None
mh1298,Grey Red,Fun,Red,Goggles,Triumph,23,Red,None,Mango Mentality,None,None,Hero,None
mh1299,Teal Black,Fun,Purple,Plead 2,Gum,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh1300,Sky 2,Fun,Normal,Wink,Joint,Swimmer,Red,Swimmer,None,None,None,Hero,None
mh1301,Sea,Fun,Red,Resent,Zipped,Rockstar,Black,None,None,None,None,Hero,None
mh1302,TBT,Fun,Purple,Intense Worn,uwu,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh1303,Sun,Fun,Blue,Eager,Full Metal,Chad,White,None,Jo,None,None,Hero,None
mh1304,Grey White,Fighting,Sunrise,Skeptic,Yum,Grease,Blue,None,None,None,None,Hero,None
mh1305,Purple Grey,Fun,Purple,Pixelshades,Mask Pink,Ghoul,Black,None,Rinkaku Red,None,None,Hero,None
mh1306,Sky 1,Fun,Green,Money,Fright,Mango Radio,Red,None,None,None,None,Hero,None
mh1307,Peach Center,Fun,Pink,Intense,Happy,Cape,Yellow,None,None,None,None,Hero,None
mh1308,Turquoise Center,Fun,Normal,Goggles,Clench 1,Mangonaut,White,None,None,None,None,Hero,None
mh1309,Planets,Fun,Sunrise,Plead 2,Cig,Space Wrangler,Tan,Space Wrangler,Mango-45,Mango Ray,None,Hero,None
mh1310,Ocean 3,Fighting,Green,Angry,Cigar,Straw Hat,Pink,Straw Hat,None,None,None,Hero,None
mh1311,Green Mangos,Fun,Pink,Skeptic,Pacifier,Diaper,White,None,None,None,None,Hero,None
mh1312,Mango Island,Fun,Sunrise,Cyclops,Fright,Arachnoid,Blue,None,Mech Arms,None,None,Hero,None
mh1313,Ocean 3,Fighting,Sunrise,Scared,uwu,Straw Hat,Blue,Straw Hat,None,None,None,Hero,None
mh1314,Mango Island,Fun,Red,Hornet,Hornet,Hornet,Blue,None,None,None,None,Hero,None
mh1315,Rising Sun,Fun,Pink,Resent,Leaf,Ronin,Tan,None,Katana,None,None,Hero,None
mh1316,Turquoise Center,Fun,Red,Intense,Plumber,Mangonaut,White,None,None,None,None,Hero,None
mh1317,Green Black,Fun,Normal,Glasses,Lower,Guerrilla,Black,None,AM-47,None,None,Hero,None
mh1318,Blue Center Light,Fun,Sunrise,Resent,Buck,School,Purple,None,None,None,None,Hero,None
mh1319,TBT Radial,Fun,Purple,Patch,Cigar,Kaiju Shirt,Red,Magician,Wand,None,None,Hero,Kaiju
mh1320,TBT,Fun,Normal,Alien White,Whistle,Slime Shirt,Pink,None,None,None,None,Hero,None
mh1321,Mushroom,Fun,Sunrise,Intense Worn,Wheat,Plumber,Red,Plumber,None,None,None,Hero,None
mh1322,Teal Black,Fun,Sunrise,Fire,Leaf,Diaper,White,Magician,Wand,None,None,Hero,None
mh1323,Sun,Fun,Purple,Intense Worn,Triumph,Chad,White,None,Jo,None,None,Hero,None
mh1324,Blue Center Light,Fun,Normal,Ded,Sinister,School,Yellow,None,None,None,None,Hero,None
mh1325,Evening,Fun,Normal,Scared,Jester Purple,Wasteland,Red,None,MPAS-12,None,None,Hero,None
mh1326,Pink White,Fun,Normal,Focused Black,Clench 1,Trunks,Blue,None,None,None,None,Hero,None
mh1327,Brown Grey,Fun,Green,Envy,Fright,Furutsu,Green,None,None,None,None,Hero,None
mh1328,TBT Radial,Fun,Purple,Tired,Leaf,Sweater,Pink,Mariachi,Maraca,None,None,Hero,None
mh1329,Sakura,Fun,Blue,Angry 1,Jester Purple,Damasi,Green,None,None,None,None,Hero,None
mh1330,Brown Grey,Fun,Pink,Tired,Whiskers,Furutsu,Purple,None,None,None,None,Hero,None
mh1331,Cornered Purple,Fun,Purple,Spectacles Angry,Mustache 2,Alchemist,Red,None,Otomeiru,None,None,Hero,None
mh1332,Sky 1,Fun,Normal,Ded,Sinister,Mango Radio,Pink,None,None,None,None,Hero,None
mh1333,Pink White,Fun,Normal,Focused Black,Wheat,Trunks,Red,None,None,None,None,Hero,None
mh1334,Sakura,Fun,Green,Surprise,Whistle,Damasi,White,None,None,None,None,Hero,None
mh1335,Sakura,Fun,Red,Angry,Buck,Damasi,Blue,None,None,None,None,Hero,None
mh1336,Purple Center,Fun,Pink,Piercing,Cigar,Biz,Red,None,None,None,None,Hero,None
mh1337,Blue Center Light,Fun,Normal,Spectacles Angry,Sinister,School,Red,None,None,None,None,Hero,None
mh1338,Ocean 1,Fun,Purple,Ghoulish,Jester Purple,Boxer,Blue,None,Gloves,None,None,Hero,None
mh1339,Grey White,Fighting,Green,Money,Cigar,Grease,Blue,None,None,None,None,Hero,None
mh1340,Grey White,Fighting,Pink,Happy,Tasty,Grease,Blue,None,None,None,None,Hero,None
mh1341,Purple Grey,Fun,Pink,Angry 2,Holler,Ghoul,Black,None,Rinkaku Red,None,None,Hero,None
mh1342,Sunset,Fun,Normal,Surprise,Cig,Mangoball,Green,None,Mangoball,None,None,Hero,None
mh1343,Mango Island,Fun,Pink,Surprise,Clench 1,Arachnoid,Blue,None,Mech Arms,None,None,Hero,None
mh1344,Grey Red,Fun,Blue,Cobra,Clench 1,23,Red,None,Mango Mentality,None,None,Hero,None
mh1345,Grey White,Fighting,Pink,Concentrate,Pout,Grease,Blue,None,None,None,None,Hero,None
mh1346,Ocean 3,Fighting,Green,Wink,Lips,Straw Hat,Green,Straw Hat,None,None,None,Hero,None
mh1347,Sky 1,Fun,Normal,Eager,Cig,Mango Radio,Green,None,None,None,None,Hero,None
mh1348,Green Black,Fun,Normal,Surprise,Full Metal,Guerrilla,Black,None,AM-47,None,None,Hero,None
mh1349,American Flag,Fighting,Normal,Hero True,Super Smirk,Captain Mango,Red/White/Blue,Captain Mango Helmet,None,None,None,Hero,Comics
mh1350,Mango Island,Fun,Green,Hornet,Hornet,Hornet,Blue,None,None,None,None,Hero,None
mh1351,Mango Island,Fun,Purple,Mask,Sinister,Mango Man,Green,None,None,None,None,Hero,None
mh1352,Barrel White,Fun,Red,Sinister,Mustache 2,Special Agent O,Black,None,Mango MPK,None,None,Hero,None
mh1353,Sakura,Fun,Pink,Sinister,Ghoulish,Damasi,Red,None,None,None,None,Hero,None
mh1354,Pink Orange,Fun,Pink,Happy,Sinister,Shirt,Blue,Pirate,Hook,None,None,Hero,None
mh1355,Orange Center,Fun,Sunrise,Sinister,Mustache 2,Caliburn Combat,Yellow,None,None,None,None,Hero,None
mh1356,Rising Sun,Fun,Normal,Eager,Whiskers,Ronin,Tan,None,Katana,None,None,Hero,None
mh1357,Teal Black,Fun,Blue,Alien White,Triumph,Slime Shirt,Pink,Pirate,Hook,None,None,Hero,None
mh1358,Stars,Fun,Green,Surprise,Smirk,Space Suit,Red,None,None,None,None,Hero,None
mh1359,Orange Center,Fun,Pink,Alien White,Mask Purple,Caliburn Combat,Yellow,None,None,None,None,Hero,None
mh1360,TBT,Fun,Red,Sinister,Joint,FFF,Purple,None,None,None,None,Hero,FFF
mh1361,Barrel Black,Fun,Red,Focused Black,Mustache,Special Agent M,White,None,Mango MPK,None,None,Hero,None
mh1362,Mango Island,Fun,Blue,Mask,Yum,Mango Man,Green,None,None,None,None,Hero,None
mh1363,Mango Island,Fun,Pink,Mask,Buck,Mango Man,Green,None,None,None,None,Hero,None
mh1364,Barrel Red,Fun,Sunrise,Focused Red,Cigar,Special Agent G,Purple,None,Mango MPK,None,None,Hero,None
mh1365,Rising Sun,Fun,Green,Angry 2,Plumber,Ronin,Black,None,Katana,None,None,Hero,None
mh1366,Orange Center,Fun,Sunrise,Scared,Cigar,Caliburn Combat,Yellow,None,None,None,None,Hero,None
mh1367,Cornered Purple,Fun,Pink,Cyclops,Whiskers,Alchemist,Purple,None,Otomeiru,None,None,Hero,None
mh1368,Sky 1,Fun,Normal,Ghoulish,Cigar,Mango Radio,Purple,None,None,None,None,Hero,None
mh1369,Tangelo,Fighting,Sunrise,Scared,Happy,Viking,Brown,Viking,Shield,None,None,Hero,None
mh1370,Sky 2,Fun,Normal,Fire,Cig,Swimmer,Red,Swimmer,None,None,None,Hero,None
mh1371,Pink White,Fun,Normal,Piercing Worn,Pucker,Trunks,Red,None,None,None,None,Hero,None
mh1372,Orange Center,Fun,Blue,Angry 1,Full Metal,Caliburn Combat,Yellow,None,None,None,None,Hero,None
mh1373,Blue Yellow,Fun,Red,Intense Worn,Fright,Jester,Purple,None,None,None,None,Hero,None
mh1374,Sunset,Fun,Blue,Tired,Wheat,9000,Yellow,None,Mangoball,9000,None,Hero,None
mh1375,Dojo Light,Fighting,Sunrise,Angry,Shinobi,Shinobi,Yellow,None,Katana,Shuriken,None,Hero,None
mh1376,Cornered Purple,Fun,Sunrise,Resent,Mask White,Alchemist,White,None,Otomeiru,None,None,Hero,None
mh1377,Green Black,Fun,Normal,Calm,Cigar,Mercenary,Purple,None,AM-47,None,None,Hero,None
mh1378,Blue Yellow,Fun,Normal,Shock,Jester Red,Jester,Purple,None,None,None,None,Hero,None
mh1379,Sky 1,Fun,Normal,Envy,Clench 1,Mango Radio,Green,None,None,None,None,Hero,None
mh1380,TBT Radial,Fun,Green,Jester,Respirator 2,Slime Shirt,Pink,None,None,None,None,Hero,None
mh1381,Brown Grey,Fun,Purple,Jester,Fright,Furutsu,Purple,None,None,None,None,Hero,None
mh1382,Turquoise Center,Fun,Blue,Glasses,Mustache 2,Mangonaut,White,None,None,None,None,Hero,None
mh1383,Teal Black,Fun,Pink,Focused Black,Smirk,FFF,Purple,None,None,None,None,Hero,FFF
mh1384,TBT,Fun,Pink,Resent,Cigar 2,Cope,Black,None,None,None,None,Hero,Cope
mh1385,Red Cornered,Fun,Blue,Focused Red,Buck,Agent O,Black,None,Mango MPK,Pencil,None,Hero,None
mh1386,Cornered Purple,Fun,Purple,Focused Black,Mask Yellow,Alchemist,Purple,None,Otomeiru,None,None,Hero,None
mh1387,Ocean 3,Fighting,Blue,Angry,Yum,Straw Hat,Blue,Straw Hat,None,None,None,Hero,None
mh1388,Purple Center,Fun,Blue,Scared,Clench 1,Biz,Tan,None,None,None,None,Hero,None
mh1389,Sky 1,Fun,Green,Wink,Jester Red,Mango Radio,Blue,None,None,None,None,Hero,None
mh1390,Ocean 1,Fun,Pink,Intense,Clench 1,Boxer,Orange,None,Gloves,None,None,Hero,None
mh1391,Teal Black,Fun,Pink,Fire,Clench 3,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh1392,Sun,Fun,Normal,Tired,Triumph,Chad,White,None,Jo,None,None,Hero,None
mh1393,Turquoise Center,Fun,Green,Yikes,Jester Red,Mangonaut,White,None,None,None,None,Hero,None
mh1394,Mushroom,Fun,Green,Plead 1,Buck,Plumber,Red,Plumber,None,None,None,Hero,None
mh1395,Planets,Fun,Sunrise,Pixelshades,Twig,Space Wrangler,Tan,Space Wrangler,Mango-45,Mango Ray,None,Hero,None
mh1396,Rising Sun,Fun,Pink,Surprise,Buck,Ronin,Black,None,Katana,None,None,Hero,None
mh1397,Rising Sun,Fun,Pink,Jester,Jester Purple,Ronin,Green,None,Katana,None,None,Hero,None
mh1398,Planets,Fun,Purple,Skeptic,Cig,Space Wrangler,White,Space Wrangler,Mango-45,Mango Ray,None,Hero,None
mh1399,Sun,Fun,Normal,Worry,Jester Purple,Chad,Green,None,Jo,None,None,Hero,None
mh1400,Barrel Black,Fun,Pink,Surprise,Full Metal,Special Agent N,Pink,None,Mango MPK,None,None,Hero,None
mh1401,Teal Black,Fun,Sunrise,Heart,Gum,Cope,Black,None,None,None,None,Hero,Cope
mh1402,Ocean 3,Fighting,Normal,Happy,Smile,Straw Hat,Pink,Straw Hat,None,None,None,Hero,None
mh1403,Red Cornered,Fun,Blue,Focused Black,Sinister,Agent O,Black,None,Mango MPK,Pencil,None,Hero,None
mh1404,Mushroom,Fun,Red,Skeptic,Wheat,Plumber,Green,Plumber,None,None,None,Hero,None
mh1405,Teal Black,Fun,Blue,Angry 2,Clench 1,FFF,Purple,Mariachi,Maraca,None,None,Hero,FFF
mh1406,Ocean 1,Fun,Sunrise,Sinister,Fright,Boxer,Red,None,Gloves,None,None,Hero,None
mh1407,Bonsai,Fighting,Red,Intense,Shogun,Shogun,Blue,Shogun,Wakizashi & Tanto,Bow,None,Hero,None
mh1408,Toxic,Fighting,Red,Wink,Gum,Mango Ranger,Green,None,None,None,None,Hero,None
mh1409,Blue Yellow,Fun,Red,Calm,Triumph,Jester,Purple,None,None,None,None,Hero,None
mh1410,Blue Yellow,Fun,Pink,Focused Black,Ghoulish,Jester,Purple,None,None,None,None,Hero,None
mh1411,Sakura,Fun,Pink,Angry 2,Mustache 2,Damasi,Black,None,None,None,None,Hero,None
mh1412,Ocean 1,Fun,Purple,Sinister,Mustache 2,Boxer,Orange,None,Gloves,None,None,Hero,None
mh1413,Mango Island,Fun,Red,Mask,Cigar,Mango Man,Green,None,None,None,None,Hero,None
mh1414,Tangelo,Fighting,Red,Worry 2,Mock,Viking,Brown,Viking,Shield,None,None,Hero,None
mh1415,Grey White,Fighting,Blue,Angry,Cigar,Grease,Blue,None,None,None,None,Hero,None
mh1416,Evening,Fun,Sunrise,Ghoulish,Triumph,Wasteland,Yellow,None,MPAS-12,None,None,Hero,None
mh1417,Mango Island,Fun,Red,Mask,Lip,Mango Man,Green,None,None,None,None,Hero,None
mh1418,Tangelo,Fighting,Green,Worry 2,Holler,Viking,Brown,Viking,Shield,None,None,Hero,None
mh1419,Green Black,Fun,Normal,Piercing Worn,Lower,Guerrilla,Red,None,AM-47,None,None,Hero,None
mh1420,Barrel Red,Fun,Purple,Jester,Full Metal,Special Agent G,Purple,None,Mango MPK,None,None,Hero,None
mh1421,Brown Grey,Fun,Purple,Cyclops,Leaf,Furutsu,Purple,None,None,None,None,Hero,None
mh1422,TBT,Fun,Purple,Piercing Worn,Fright,Shirt,Blue,Mariachi,Maraca,None,None,Hero,None
mh1423,Turquoise Center,Fun,Red,Angry 3,Fright,Mangonaut,White,None,None,None,None,Hero,None
mh1424,Blue Yellow,Fun,Pink,Focused Red,Pucker,Jester,Purple,None,None,None,None,Hero,None
mh1425,Blue Yellow,Fun,Sunrise,Skeptic,Twig,Jester,Purple,None,None,None,None,Hero,None
mh1426,Purple Center,Fun,Purple,Spectacles Angry,Fright,Biz,Tan,None,None,None,None,Hero,None
mh1427,Turquoise Center,Fun,Blue,Glasses,Whiskers,Mangonaut,White,None,None,None,None,Hero,None
mh1428,Blue Center Light,Fun,Normal,Intense,Wheat,School,Blue,None,None,None,None,Hero,None
mh1429,Fallen,Fun,Red,Tired,Buck,Ghoul,Black,None,Rinkaku Red,None,None,Hero,None
mh1430,Pink White,Fun,Normal,Resent,Fright,Trunks,Light Pink,None,None,None,None,Hero,None
mh1431,Sea,Fun,Sunrise,Surprise,Cigar 2,Rockstar,Black,None,None,None,None,Hero,None
mh1432,Sakura,Fun,Pink,Intense,Leaf,Damasi,Green,None,None,None,None,Hero,None
mh1433,Mango Island,Fun,Red,Intense,Whiskers,Claw,Red,None,Claws,None,None,Hero,None
mh1434,Planets,Fun,Purple,Angry 3,Whiskers,Space Wrangler,Tan,Space Wrangler,Mango-45,Mango Ray,None,Hero,None
mh1435,Sunset,Fun,Normal,Wink,Jester Red,Mangoball,Purple,None,Mangoball,None,None,Hero,None
mh1436,Teal Black,Fun,Green,Envy,Triumph,Striped,White,Pirate,Hook,None,None,Hero,None
mh1437,TBT Radial,Fun,Red,Plead 1,Respirator 2,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh1438,TBT Radial,Fun,Green,Money,Mask Purple,Cope,Black,Magician,Wand,None,None,Hero,Cope
mh1439,Red Cornered,Fun,Pink,Alien White,Lip,Agent A,Yellow,None,Mango MPK,Pencil,None,Hero,None
mh1440,Purple Grey,Fun,Purple,Fire,Surgical,Ghoul,White,None,Rinkaku Red,None,None,Hero,None
mh1441,Orange Center,Fun,Normal,Cobra,Lower,Caliburn Combat,Pink,None,None,None,None,Hero,None
mh1442,Peach Center,Fun,Purple,Sinister,Yum,Cape,Blue,None,None,None,None,Hero,None
mh1443,Sky 2,Fun,Pink,Patch,Leaf,Swimmer,Orange,Swimmer,None,None,None,Hero,None
mh1444,Sakura,Fun,Pink,Resent,Jester Red,Damasi,Blue,None,None,None,None,Hero,None
mh1445,Ocean 3,Fighting,Green,Money,Surgical,Straw Hat,Blue,Straw Hat,None,None,None,Hero,None
mh1446,Sun,Fun,Red,Happy,Triumph,Chad,White,None,Jo,None,None,Hero,None
mh1447,Pink Center,Fighting,Red,Happy,Cigar,Mango Ranger,Pink,None,None,None,None,Hero,None
mh1448,Brown Grey,Fun,Blue,Focused Red,Plumber,Furutsu,Pink,None,None,None,None,Hero,None
mh1449,Mango Island,Fun,Normal,Mask,Pucker,Mango Man,Green,None,None,None,None,Hero,None
mh1450,Barrel Red,Fun,Green,Sinister,Clench 1,Special Agent N,Pink,None,Mango MPK,None,None,Hero,None
mh1451,Purple Center,Fun,Purple,Focused Black,Clench 1,Biz,Black,None,None,None,None,Hero,None
mh1452,Barrel Black,Fun,Blue,Focused Black,Clench 1,Special Agent G,Purple,None,Mango MPK,None,None,Hero,None
mh1453,Mango Island,Fun,Blue,Scared,Cigar,Fate,Grey,None,None,None,None,Hero,None
mh1454,Red Center Dark,Fighting,Red,Wink,Frown,Mango Ranger,Red,None,None,None,None,Hero,None
mh1455,Mango Island,Fun,Normal,Mask,Cupid,Mango Man,Green,None,None,None,None,Hero,None
mh1456,Turquoise Center,Fun,Sunrise,Surprise,Buck,Mangonaut,White,None,None,None,None,Hero,None
mh1457,TBT,Fun,Sunrise,Intense Worn,Whistle,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh1458,Green Black,Fun,Normal,Ded,Knife,Mercenary,Black,None,AM-47,None,Knife,Hero,None
